,log_id,timestamp,epoch,metric_key,metric_val
44,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:34,275",5,Eval-Acc-Tgt,0.178874
45,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:37,984",6,Train-XEnt-Src,nan
46,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:37,984",6,Train-Aux-Src,0.981000
47,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:37,985",6,Train-Total-Src,nan
48,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:37,985",6,Train-Acc-Src,0.098625
49,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:37,985",6,Train-XEnt-Tgt,nan
50,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:37,985",6,Train-Aux-Tgt,0.981750
51,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:37,985",6,Train-Total-Tgt,nan
52,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:37,986",6,Train-Acc-Tgt,0.098625
53,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:38,603",6,Eval-Acc-Tgt,0.178874
54,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:42,299",7,Train-XEnt-Src,nan
55,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:42,300",7,Train-Aux-Src,0.976500
56,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:42,300",7,Train-Total-Src,nan
57,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:42,300",7,Train-Acc-Src,0.098625
58,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:42,301",7,Train-XEnt-Tgt,nan
59,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:42,301",7,Train-Aux-Tgt,0.984750
60,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:42,301",7,Train-Total-Tgt,nan
61,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:42,301",7,Train-Acc-Tgt,0.098625
62,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:42,915",7,Eval-Acc-Tgt,0.178874
63,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:46,603",8,Train-XEnt-Src,nan
64,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:46,603",8,Train-Aux-Src,0.980250
65,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:46,604",8,Train-Total-Src,nan
66,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:46,604",8,Train-Acc-Src,0.098625
67,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:46,604",8,Train-XEnt-Tgt,nan
68,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:46,604",8,Train-Aux-Tgt,0.982250
69,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:46,605",8,Train-Total-Tgt,nan
70,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:46,605",8,Train-Acc-Tgt,0.098625
71,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:47,216",8,Eval-Acc-Tgt,0.178874
72,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:50,921",9,Train-XEnt-Src,nan
73,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:50,922",9,Train-Aux-Src,0.981250
74,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:50,922",9,Train-Total-Src,nan
75,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:50,922",9,Train-Acc-Src,0.098625
76,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:50,922",9,Train-XEnt-Tgt,nan
77,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:50,923",9,Train-Aux-Tgt,0.975750
78,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:50,923",9,Train-Total-Tgt,nan
