,log_id,timestamp,epoch,metric_key,metric_val
39,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:25,401",5,Train-Acc-Src,0.139250
40,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:25,401",5,Train-XEnt-Tgt,2.308240
41,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:25,401",5,Train-Aux-Tgt,1.003697
42,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:25,401",5,Train-Total-Tgt,1.655968
43,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:25,402",5,Train-Acc-Tgt,0.139250
44,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:26,019",5,Eval-Acc-Tgt,0.178874
45,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:29,657",6,Train-XEnt-Src,2.261802
46,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:29,657",6,Train-Aux-Src,1.018552
47,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:29,657",6,Train-Total-Src,1.640177
48,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:29,657",6,Train-Acc-Src,0.145250
49,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:29,658",6,Train-XEnt-Tgt,2.307298
50,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:29,658",6,Train-Aux-Tgt,1.004151
51,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:29,658",6,Train-Total-Tgt,1.655724
52,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:29,658",6,Train-Acc-Tgt,0.145250
53,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:30,272",6,Eval-Acc-Tgt,0.073244
54,dsne-s1-0.5-l2n-seed1_2020-02-24-07-28-13-628937,"2020-02-24 07:21:33,911",7,Train-XEnt-Src,2.256998
